epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.6331,1.69948,3.75153,1.53431,0.13355,0.19645,0.12388,0.07241,1.59628,3.11431,1.41358,0.000254003,0.000254003,0.000254003
2,146.059,1.61637,2.68832,1.46417,0.40272,0.41924,0.3804,0.19539,1.65016,2.37568,1.61375,0.00040929,0.00040929,0.00040929
3,219.974,1.52658,2.13583,1.44165,0.50949,0.51011,0.52921,0.2726,1.51581,2.03795,1.46949,0.000463068,0.000463068,0.000463068
4,290.642,1.48598,1.91116,1.39671,0.67151,0.53591,0.61306,0.34977,1.43455,1.92269,1.4083,0.000312214,0.000312214,0.000312214
5,360.639,1.43799,1.74287,1.38049,0.68686,0.61315,0.68856,0.38611,1.43316,1.72323,1.40907,0.000159952,0.000159952,0.000159952
