epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,474.5,1.04529,0.77287,1.10607,0.86962,0.78001,0.83671,0.44038,1.59229,0.98115,1.51247,0.000706573,0.000706573,0.000706573
43,485.809,1.03478,0.75042,1.10267,0.81433,0.75493,0.81247,0.43835,1.58522,1.0114,1.5069,0.00070505,0.00070505,0.00070505
44,497.04,1.04859,0.76669,1.10335,0.84673,0.7438,0.8248,0.4521,1.57805,0.98822,1.50399,0.000703527,0.000703527,0.000703527
45,508.35,1.0249,0.72609,1.0985,0.80585,0.78723,0.81082,0.44794,1.54976,0.97677,1.48152,0.000702005,0.000702005,0.000702005
46,519.47,1.04534,0.73648,1.10195,0.79944,0.75236,0.78845,0.43267,1.57111,1.00555,1.51372,0.000700482,0.000700482,0.000700482
47,530.389,1.02494,0.72449,1.10175,0.82278,0.76186,0.81614,0.4288,1.60532,1.00006,1.51787,0.000698959,0.000698959,0.000698959
48,541.595,1.03019,0.73553,1.09968,0.85431,0.74562,0.81683,0.42861,1.59151,0.95866,1.53115,0.000697437,0.000697437,0.000697437
49,552.911,1.02646,0.72444,1.09769,0.80529,0.77019,0.80905,0.4167,1.68481,0.98218,1.6296,0.000695914,0.000695914,0.000695914
50,564.26,1.03921,0.7147,1.09935,0.83944,0.7792,0.82685,0.44606,1.59344,0.96075,1.48428,0.000694392,0.000694392,0.000694392
51,575.524,1.00402,0.69275,1.08668,0.81714,0.79159,0.8258,0.44642,1.60551,0.93334,1.52212,0.000692869,0.000692869,0.000692869
52,587.373,1.00273,0.70387,1.08341,0.83619,0.78478,0.83451,0.43759,1.60134,0.95033,1.49771,0.000691346,0.000691346,0.000691346
53,598.687,0.99736,0.72484,1.08617,0.84424,0.75951,0.81939,0.43917,1.59697,0.96807,1.52628,0.000689824,0.000689824,0.000689824
54,609.931,0.98647,0.69992,1.07808,0.85287,0.77416,0.84038,0.43596,1.57212,0.96616,1.50919,0.000688301,0.000688301,0.000688301
55,621.729,0.9916,0.69248,1.07896,0.82613,0.79276,0.82122,0.43092,1.61922,0.95314,1.56721,0.000686779,0.000686779,0.000686779
56,633.515,0.98517,0.68268,1.07164,0.86096,0.73946,0.82416,0.44838,1.57461,0.92367,1.52038,0.000685256,0.000685256,0.000685256
57,644.972,0.98085,0.68262,1.07543,0.85702,0.76629,0.82129,0.45156,1.58026,0.95263,1.52232,0.000683733,0.000683733,0.000683733
58,656.152,0.96913,0.67367,1.0772,0.84048,0.80119,0.84603,0.46215,1.56529,0.96063,1.48845,0.000682211,0.000682211,0.000682211
59,667.32,0.97624,0.67836,1.06907,0.81121,0.80111,0.83934,0.44894,1.57949,0.91455,1.52522,0.000680688,0.000680688,0.000680688
60,678.589,0.98347,0.66393,1.06917,0.8369,0.80637,0.82833,0.44767,1.60087,0.89805,1.55259,0.000679165,0.000679165,0.000679165
61,689.735,0.98372,0.65906,1.07863,0.84313,0.75114,0.8315,0.4597,1.55616,0.90654,1.49752,0.000677643,0.000677643,0.000677643
62,701.446,0.98958,0.66672,1.06887,0.84136,0.74736,0.81353,0.43638,1.61879,0.94418,1.54248,0.00067612,0.00067612,0.00067612
63,712.897,0.96238,0.6624,1.06232,0.85547,0.78638,0.83489,0.45033,1.60924,0.8863,1.55047,0.000674598,0.000674598,0.000674598
64,724.749,0.95414,0.63845,1.06306,0.85724,0.75764,0.82066,0.44412,1.59522,0.92933,1.53527,0.000673075,0.000673075,0.000673075
65,736.567,0.96047,0.64547,1.05527,0.85154,0.76015,0.83207,0.45432,1.57148,0.92304,1.5129,0.000671552,0.000671552,0.000671552
