epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.8363,1.75512,3.70403,1.61483,0.25761,0.27683,0.14171,0.07497,1.58816,3.02046,1.52133,0.000255751,0.000255751,0.000255751
2,175.419,1.62527,2.73049,1.53536,0.27614,0.36887,0.31622,0.15981,1.59434,3.35161,1.59203,0.000410691,0.000410691,0.000410691
3,260.669,1.57071,2.45063,1.54128,0.50743,0.47344,0.44393,0.2226,1.58614,2.75713,1.58555,0.000464124,0.000464124,0.000464124
4,347.44,1.54112,2.18378,1.50078,0.5085,0.51936,0.48522,0.2733,1.3979,2.95746,1.44464,0.000312214,0.000312214,0.000312214
5,433.604,1.48914,2.05729,1.47925,0.53794,0.58807,0.54643,0.30849,1.38378,2.68581,1.43172,0.000159952,0.000159952,0.000159952
