epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.3592,1.6913,3.73265,1.5322,0.17585,0.28485,0.14847,0.08274,1.53559,2.88194,1.39791,0.000254003,0.000254003,0.000254003
2,160.356,1.61527,2.68244,1.44965,0.36029,0.44908,0.38154,0.20625,1.58411,2.35542,1.48385,0.00040929,0.00040929,0.00040929
3,239.695,1.52589,2.16508,1.42683,0.57269,0.50576,0.5288,0.27974,1.55335,2.02451,1.46235,0.000463068,0.000463068,0.000463068
4,318.064,1.48617,1.91386,1.3854,0.70761,0.53904,0.64055,0.34354,1.51156,1.80603,1.45204,0.000312214,0.000312214,0.000312214
5,399.888,1.44718,1.74265,1.35727,0.68912,0.63728,0.69438,0.39833,1.42047,1.66774,1.36079,0.000159952,0.000159952,0.000159952
