epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7725,1.71166,3.75909,1.53419,0.14986,0.2884,0.13601,0.07562,1.58219,2.75569,1.36854,0.000254003,0.000254003,0.000254003
2,21.9927,1.59773,2.61024,1.43513,0.37386,0.45213,0.36612,0.18716,1.61608,2.27713,1.54637,0.000485075,0.000485075,0.000485075
3,33.4771,1.55505,2.12364,1.42933,0.45762,0.57111,0.48027,0.24943,1.54577,2.18966,1.49097,0.000690769,0.000690769,0.000690769
4,44.1486,1.51733,1.87647,1.41305,0.58459,0.57752,0.59331,0.32257,1.55155,1.68,1.46792,0.000654804,0.000654804,0.000654804
5,55.2559,1.45683,1.68419,1.38349,0.69902,0.6844,0.71124,0.39059,1.49344,1.40811,1.4267,0.000616738,0.000616738,0.000616738
6,66.038,1.44257,1.58342,1.35154,0.6936,0.7,0.74191,0.4109,1.47828,1.42279,1.38311,0.000578672,0.000578672,0.000578672
7,77.4827,1.37692,1.42777,1.31954,0.72151,0.7179,0.76152,0.42901,1.4756,1.34084,1.38403,0.000540607,0.000540607,0.000540607
8,88.6595,1.36676,1.37074,1.29905,0.69128,0.71312,0.72835,0.41185,1.4737,1.38508,1.38005,0.000502541,0.000502541,0.000502541
9,99.5924,1.32716,1.29034,1.2792,0.78819,0.70334,0.77049,0.43836,1.45464,1.29917,1.36187,0.000464476,0.000464476,0.000464476
10,110.761,1.33102,1.2564,1.2717,0.76015,0.7401,0.77999,0.42348,1.50616,1.30461,1.40774,0.000426411,0.000426411,0.000426411
11,138.322,1.25074,1.12897,1.25065,0.75257,0.72277,0.76399,0.43763,1.45787,1.31631,1.36675,0.000388345,0.000388345,0.000388345
12,149.107,1.22569,1.03424,1.22972,0.79639,0.72202,0.79355,0.43994,1.4747,1.19952,1.38323,0.00035028,0.00035028,0.00035028
13,160.193,1.18423,1.0232,1.21173,0.80983,0.73406,0.8105,0.45318,1.47054,1.12224,1.38085,0.000312214,0.000312214,0.000312214
14,171.119,1.16909,0.95109,1.18752,0.7851,0.76257,0.80806,0.45253,1.49956,1.13782,1.40309,0.000274148,0.000274148,0.000274148
15,181.946,1.13289,0.91352,1.16312,0.79931,0.72613,0.78942,0.44987,1.46921,1.16573,1.38642,0.000236083,0.000236083,0.000236083
16,192.707,1.08176,0.8629,1.14074,0.8096,0.76102,0.82096,0.46418,1.45885,1.08573,1.37246,0.000198018,0.000198018,0.000198018
17,203.307,1.06992,0.83591,1.12821,0.80106,0.77159,0.81902,0.46447,1.46425,1.07205,1.39261,0.000159952,0.000159952,0.000159952
18,214.205,1.07005,0.83113,1.12644,0.86144,0.75177,0.8336,0.47085,1.44458,1.03598,1.3737,0.000121887,0.000121887,0.000121887
19,224.893,1.02843,0.79274,1.10807,0.86727,0.74161,0.83494,0.4737,1.46622,1.02715,1.38486,8.3821e-05,8.3821e-05,8.3821e-05
20,235.452,1.02306,0.79554,1.10394,0.84129,0.76998,0.83941,0.47341,1.45024,1.02254,1.3783,4.57555e-05,4.57555e-05,4.57555e-05
