epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3112,1.72601,3.64359,1.54959,0.18093,0.23946,0.15639,0.08819,1.50755,2.71196,1.3393,0.000254003,0.000254003,0.000254003
2,41.4055,1.58408,2.47939,1.4511,0.37666,0.42784,0.39902,0.20493,1.54896,2.16031,1.4332,0.000459813,0.000459813,0.000459813
3,51.0904,1.52058,2.03115,1.4546,0.44615,0.56618,0.5315,0.2752,1.57096,1.89571,1.49426,0.000614869,0.000614869,0.000614869
4,62.5295,1.47238,1.72807,1.40585,0.60457,0.58016,0.59436,0.33087,1.51069,1.76123,1.43474,0.000540607,0.000540607,0.000540607
5,74.191,1.42043,1.55618,1.37146,0.64696,0.67515,0.69679,0.38989,1.46028,1.50198,1.40652,0.000464476,0.000464476,0.000464476
6,85.3956,1.34291,1.40495,1.30165,0.72267,0.63628,0.71736,0.41314,1.45857,1.40271,1.35639,0.000388345,0.000388345,0.000388345
7,96.9876,1.292,1.2618,1.25922,0.75985,0.66079,0.74764,0.43397,1.44651,1.25621,1.34682,0.000312214,0.000312214,0.000312214
8,106.789,1.24919,1.2007,1.2453,0.80298,0.65377,0.77547,0.44376,1.44949,1.25764,1.36098,0.000236083,0.000236083,0.000236083
9,116.575,1.20508,1.13043,1.22437,0.80154,0.69945,0.77829,0.44758,1.44564,1.22074,1.34897,0.000159952,0.000159952,0.000159952
10,125.702,1.18462,1.05894,1.20006,0.77552,0.73917,0.80096,0.45734,1.44271,1.16178,1.35688,8.3821e-05,8.3821e-05,8.3821e-05
