epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.1224,1.6913,3.73265,1.5322,0.17585,0.28485,0.14847,0.08274,1.53559,2.88194,1.39791,0.000254003,0.000254003,0.000254003
2,153.195,1.6238,2.66392,1.461,0.38951,0.41862,0.39309,0.20812,1.6063,2.43774,1.48688,0.000505284,0.000505284,0.000505284
3,226.898,1.55275,2.16949,1.45832,0.47731,0.51629,0.51248,0.26692,1.57475,2.1599,1.51617,0.00075149,0.00075149,0.00075149
4,305.172,1.52364,1.93534,1.42734,0.57314,0.58416,0.58084,0.31067,1.5495,2.01602,1.50583,0.000746161,0.000746161,0.000746161
5,384.607,1.51324,1.76476,1.42017,0.57815,0.62716,0.62369,0.33413,1.53942,2.09239,1.44836,0.000738548,0.000738548,0.000738548
6,472.423,1.45633,1.61005,1.38212,0.68095,0.61731,0.66249,0.3625,1.54065,1.71084,1.49654,0.000730935,0.000730935,0.000730935
