epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5439,1.71166,3.75909,1.53419,0.14986,0.2884,0.13601,0.07562,1.58219,2.75569,1.36854,0.000254003,0.000254003,0.000254003
2,25.8047,1.60163,2.60797,1.43831,0.28902,0.43583,0.31991,0.16506,1.58082,2.90898,1.54743,0.000505284,0.000505284,0.000505284
3,37.2466,1.56299,2.13171,1.4458,0.53493,0.55626,0.53686,0.27948,1.56243,1.87936,1.49974,0.00075149,0.00075149,0.00075149
4,48.572,1.52642,1.86104,1.42499,0.66565,0.49282,0.59923,0.34238,1.48523,1.6044,1.43466,0.000746161,0.000746161,0.000746161
5,60.3958,1.46777,1.68678,1.39556,0.76491,0.62219,0.73799,0.40026,1.53616,1.4303,1.48073,0.000738548,0.000738548,0.000738548
6,73.2414,1.46347,1.598,1.37042,0.69126,0.57503,0.65463,0.35798,1.53922,1.61856,1.44552,0.000730935,0.000730935,0.000730935
7,86.1486,1.405,1.45841,1.34392,0.72336,0.66573,0.72545,0.38714,1.53146,1.35265,1.44847,0.000723321,0.000723321,0.000723321
8,99.6554,1.41006,1.40901,1.32615,0.67065,0.66221,0.69911,0.37501,1.57219,1.40381,1.47638,0.000715708,0.000715708,0.000715708
9,114.292,1.35464,1.31374,1.29801,0.71785,0.64767,0.72114,0.40194,1.51259,1.38414,1.4518,0.000708095,0.000708095,0.000708095
10,127.514,1.38524,1.2997,1.32201,0.74569,0.67281,0.7167,0.39268,1.52567,1.45323,1.45021,0.000700482,0.000700482,0.000700482
11,140.464,1.34971,1.28231,1.3076,0.80796,0.71274,0.79641,0.44346,1.48882,1.22747,1.43273,0.000692869,0.000692869,0.000692869
12,154,1.29603,1.19675,1.26905,0.72683,0.68645,0.72004,0.41037,1.49338,1.27258,1.43936,0.000685256,0.000685256,0.000685256
13,166.676,1.29109,1.17358,1.26596,0.7217,0.73261,0.77281,0.42865,1.505,1.21341,1.42615,0.000677643,0.000677643,0.000677643
14,179.09,1.28914,1.12128,1.25547,0.69982,0.7537,0.76013,0.41423,1.5093,1.35739,1.44163,0.00067003,0.00067003,0.00067003
15,191.443,1.25743,1.12352,1.23618,0.82599,0.68709,0.78893,0.43254,1.50111,1.16461,1.42483,0.000662417,0.000662417,0.000662417
16,204.774,1.24853,1.0785,1.23241,0.73102,0.73664,0.76138,0.42335,1.51146,1.15645,1.47684,0.000654804,0.000654804,0.000654804
17,217.503,1.24003,1.05477,1.22691,0.80797,0.70572,0.79171,0.42712,1.51215,1.18569,1.43492,0.00064719,0.00064719,0.00064719
18,231.262,1.21162,1.02076,1.2159,0.79699,0.73909,0.79553,0.43506,1.51508,1.24911,1.42978,0.000639577,0.000639577,0.000639577
19,244.135,1.22883,1.01624,1.21517,0.84767,0.7137,0.80955,0.44413,1.54036,1.10057,1.44681,0.000631964,0.000631964,0.000631964
20,256.055,1.19879,0.98866,1.19894,0.80498,0.76524,0.81838,0.44888,1.50408,1.12547,1.43682,0.000624351,0.000624351,0.000624351
21,268.524,1.21057,0.97809,1.20164,0.85327,0.75827,0.81373,0.44982,1.51586,1.09443,1.45643,0.000616738,0.000616738,0.000616738
22,280.728,1.17058,0.94616,1.18094,0.86433,0.75772,0.83019,0.46143,1.5362,1.04741,1.45231,0.000609125,0.000609125,0.000609125
